FBID	CG	Symbol	mean	status
FBgn0261597	CG10305	RpS26	-1.81861273055438	1
FBgn0026393	CG17853	Or43b	-1.8029998991174145	1
FBgn0036239	CG5684	Pop2	-1.8028856726794615	1
FBgn0038546	CG7379	CG7379	-1.799439679106689	2
FBgn0046113	CG4226	GluRIIC	-1.7703773288949431	1
FBgn0010520	CG4539	Bka	-1.7689336300802874	2
FBgn0002579	CG7622	RpL36	-1.768340960429239	1
FBgn0036188	CG7339	Polr3H	-1.7635010670397215	2
FBgn0260393	CG17147	CG17147	-1.7550462950182988	1
FBgn0260965	CG42588	CG42588	-1.7497377398536398	2
FBgn0028982	CG12225	Spt6	-1.7374384252632298	2
FBgn0038964	CG13849	Nop56	-1.737205270672611	2
FBgn0260634	CG10192	eIF4G2	-1.733904717716027	1
FBgn0039183	CG6413	Dis3	-1.7304486662808207	3
FBgn0053554	CG33554	Nipped-A	-1.7290142323627	1
FBgn0015268	CG5330	Nap1	-1.7289028005183888	1
FBgn0052039	CG32039	Svip	-1.7229125497842823	1
FBgn0034029	CG8190	eIF2Bgamma	-1.7194991494641985	1
FBgn0005683	CG5354	pie	-1.7167089968665246	2
FBgn0042205	CG18764	CG18764	-1.7137635610169384	1
FBgn0003607	CG8409	Su(var)205	-1.7137425128590624	2
FBgn0022943	CG12357	Cbp20	-1.7016698520286884	2
FBgn0032005	CG8282	Snx6	-1.7002791820689345	1
FBgn0005655	CG9193	PCNA	-1.6982077142925143	1
FBgn0027865	CG6120	Tsp96F	-1.697249524064693	1
FBgn0031822	CG9548	Phf5a	-1.6971185991653222	1
FBgn0029958	CG12151	Pdp	-1.6912958690685627	2
FBgn0036314	CG10754	Sf3a2	-1.6887250907337905	1
FBgn0001222	CG5748	Hsf	-1.688365851166907	2
FBgn0086680	CG10037	vvl	-1.6880452097063394	1
FBgn0260397	CG17149	Su(var)3-3	-1.6829273813405041	2
FBgn0033737	CG8831	Nup54	-1.6808282498007932	1
FBgn0033378	CG8781	tsu	-1.6741556870572742	1
FBgn0023170	CG3997	RpL39	-1.6692978085877965	1
FBgn0031390	CG31671	tho2	-1.663601568250533	2
FBgn0038016	CG10042	MBD-R2	-1.6632342019780593	1
FBgn0034084	CG8435	CG8435	-1.6599106609297587	1
FBgn0034722	CG10955	Rtf1	-1.652785573964562	2
FBgn0039710	CG18041	dgt1	-1.6332126954743402	1
FBgn0003062	CG9888	Fib	-1.6324171911087244	1
FBgn0036828	CG6841	Prp6	-1.629135403353454	1
FBgn0037138	CG7145	P5CDh1	-1.628619273514695	1
FBgn0011361	CG9160	ND-ACP	-1.6263188832647437	1
FBgn0033179	CG11139	p47	-1.6233088727354243	1
FBgn0004915	CG5193	TfIIB	-1.6200979017406025	1
FBgn0036733	CG6322	U4-U6-60K	-1.6192939672004973	1
FBgn0044324	CG10712	Chro	-1.6128496981394602	1
FBgn0039129	CG5338	RpS19b	-1.6126297370073646	2
FBgn0011573	CG12019	Cdc37	-1.6113882803245076	1
FBgn0038515	CG5823	CG5823	-1.6096160788530913	1
FBgn0028411	CG12752	Nxt1	-1.6016178712012368	1
FBgn0037051	CG10565	CG10565	-1.5872993558573056	2
FBgn0283494	CG3140	Ak2	-1.5863722142435441	2
FBgn0261592	CG10944	RpS6	-1.5829338487637168	1
FBgn0030719	CG9177	eIF5	-1.5822399980304902	1
FBgn0261933	CG10753	SmD1	-1.5786966934346895	1
FBgn0032021	CG7781	CG7781	-1.5751483301492226	1
FBgn0011741	CG11678	Arp6	-1.5694244644463091	1
FBgn0025807	CG3945	Rad9	-1.568358126543104	1
FBgn0004106	CG5363	Cdk1	-1.5662843242709032	1
FBgn0022942	CG7035	Cbp80	-1.565151987707621	2
FBgn0034968	CG3195	RpL12	-1.5586304332662781	1
FBgn0263603	CG5215	Zn72D	-1.5545767275984406	1
FBgn0051510	CG31510	CG31510	-1.5516654166431327	2
FBgn0039187	CG6454	CG6454	-1.550933488124679	1
FBgn0034744	CG4071	Vps20	-1.5480237707141795	1
FBgn0040234	CG12149	c12.2	-1.5473536333958426	1
FBgn0032250	CG5198	holn1	-1.546564040628233	1
FBgn0035831	CG8038	Pop4	-1.5435273628661907	1
FBgn0053217	CG33217	CG33217	-1.540035843543734	1
FBgn0014340	CG3025	mof	-1.5235672304850756	1
FBgn0259876	CG34438	Cap-G	-1.5182323421347412	1
FBgn0013305	CG3798	Nmda1	-1.5128562191868011	1
n.d.	CG9325	n.d.	-1.510157632194387	1
FBgn0021874	CG2863	Nle	-1.5086804053207319	1
FBgn0010278	CG4817	Ssrp	-1.5015371674832063	1
