FBID	CG	Symbol	mean	status
FBgn0261597	CG10305	RpS26	-1.81861273055438	1
FBgn0026393	CG17853	Or43b	-1.8029998991174145	1
FBgn0036239	CG5684	Pop2	-1.8028856726794615	1
FBgn0038546	CG7379	CG7379	-1.799439679106689	2
FBgn0046113	CG4226	GluRIIC	-1.7703773288949431	1
FBgn0010520	CG4539	Bka	-1.7689336300802874	2
FBgn0002579	CG7622	RpL36	-1.768340960429239	1
FBgn0036188	CG7339	Polr3H	-1.7635010670397215	2
FBgn0260393	CG17147	CG17147	-1.7550462950182988	1
FBgn0260965	CG42588	CG42588	-1.7497377398536398	2
FBgn0028982	CG12225	Spt6	-1.7374384252632298	2
FBgn0038964	CG13849	Nop56	-1.737205270672611	2
FBgn0260634	CG10192	eIF4G2	-1.733904717716027	1
FBgn0039183	CG6413	Dis3	-1.7304486662808207	3
FBgn0053554	CG33554	Nipped-A	-1.7290142323627	1
FBgn0015268	CG5330	Nap1	-1.7289028005183888	1
FBgn0052039	CG32039	Svip	-1.7229125497842823	1
FBgn0034029	CG8190	eIF2Bgamma	-1.7194991494641985	1
FBgn0005683	CG5354	pie	-1.7167089968665246	2
FBgn0042205	CG18764	CG18764	-1.7137635610169384	1
FBgn0003607	CG8409	Su(var)205	-1.7137425128590624	2
FBgn0022943	CG12357	Cbp20	-1.7016698520286884	2
FBgn0032005	CG8282	Snx6	-1.7002791820689345	1
FBgn0005655	CG9193	PCNA	-1.6982077142925143	1
FBgn0027865	CG6120	Tsp96F	-1.697249524064693	1
FBgn0031822	CG9548	Phf5a	-1.6971185991653222	1
FBgn0029958	CG12151	Pdp	-1.6912958690685627	2
FBgn0036314	CG10754	Sf3a2	-1.6887250907337905	1
FBgn0001222	CG5748	Hsf	-1.688365851166907	2
FBgn0086680	CG10037	vvl	-1.6880452097063394	1
FBgn0260397	CG17149	Su(var)3-3	-1.6829273813405041	2
FBgn0033737	CG8831	Nup54	-1.6808282498007932	1
FBgn0033378	CG8781	tsu	-1.6741556870572742	1
FBgn0023170	CG3997	RpL39	-1.6692978085877965	1
FBgn0031390	CG31671	tho2	-1.663601568250533	2
FBgn0038016	CG10042	MBD-R2	-1.6632342019780593	1
FBgn0034084	CG8435	CG8435	-1.6599106609297587	1
FBgn0034722	CG10955	Rtf1	-1.652785573964562	2
FBgn0039710	CG18041	dgt1	-1.6332126954743402	1
FBgn0003062	CG9888	Fib	-1.6324171911087244	1
FBgn0036828	CG6841	Prp6	-1.629135403353454	1
FBgn0037138	CG7145	P5CDh1	-1.628619273514695	1
FBgn0011361	CG9160	ND-ACP	-1.6263188832647437	1
FBgn0033179	CG11139	p47	-1.6233088727354243	1
FBgn0004915	CG5193	TfIIB	-1.6200979017406025	1
FBgn0036733	CG6322	U4-U6-60K	-1.6192939672004973	1
FBgn0044324	CG10712	Chro	-1.6128496981394602	1
FBgn0039129	CG5338	RpS19b	-1.6126297370073646	2
FBgn0011573	CG12019	Cdc37	-1.6113882803245076	1
FBgn0038515	CG5823	CG5823	-1.6096160788530913	1
FBgn0028411	CG12752	Nxt1	-1.6016178712012368	1
FBgn0037051	CG10565	CG10565	-1.5872993558573056	2
FBgn0283494	CG3140	Ak2	-1.5863722142435441	2
FBgn0261592	CG10944	RpS6	-1.5829338487637168	1
FBgn0030719	CG9177	eIF5	-1.5822399980304902	1
FBgn0261933	CG10753	SmD1	-1.5786966934346895	1
FBgn0032021	CG7781	CG7781	-1.5751483301492226	1
FBgn0011741	CG11678	Arp6	-1.5694244644463091	1
FBgn0025807	CG3945	Rad9	-1.568358126543104	1
FBgn0004106	CG5363	Cdk1	-1.5662843242709032	1
FBgn0022942	CG7035	Cbp80	-1.565151987707621	2
FBgn0034968	CG3195	RpL12	-1.5586304332662781	1
FBgn0263603	CG5215	Zn72D	-1.5545767275984406	1
FBgn0051510	CG31510	CG31510	-1.5516654166431327	2
FBgn0039187	CG6454	CG6454	-1.550933488124679	1
FBgn0034744	CG4071	Vps20	-1.5480237707141795	1
FBgn0040234	CG12149	c12.2	-1.5473536333958426	1
FBgn0032250	CG5198	holn1	-1.546564040628233	1
FBgn0035831	CG8038	Pop4	-1.5435273628661907	1
FBgn0053217	CG33217	CG33217	-1.540035843543734	1
FBgn0014340	CG3025	mof	-1.5235672304850756	1
FBgn0259876	CG34438	Cap-G	-1.5182323421347412	1
FBgn0013305	CG3798	Nmda1	-1.5128562191868011	1
n.d.	CG9325	n.d.	-1.510157632194387	1
FBgn0021874	CG2863	Nle	-1.5086804053207319	1
FBgn0010278	CG4817	Ssrp	-1.5015371674832063	1
FBgn0000376	CG2714	crm	-1.495110742972137	1
FBgn0038768	CG4936	CG4936	-1.4938599527519125	2
FBgn0037106	CG11307	CG11307	-1.4884949634750222	1
FBgn0038243	CG8066	CG8066	-1.4883574646193602	1
FBgn0004838	CG10377	Hrb27C	-1.481419789280849	2
FBgn0015834	CG8882	eIF3i	-1.4802499725205394	1
FBgn0001179	CG8019	hay	-1.4788464056808044	2
FBgn0037899	CG6764	RpL24-like	-1.4787791597278834	1
FBgn0028684	CG10370	Rpt5	-1.4755828423981858	2
FBgn0027783	CG10212	SMC2	-1.4706911087543628	1
FBgn0036336	CG11268	ste14	-1.4634902832943042	1
FBgn0032321	CG4621	YL-1	-1.462939758822778	2
FBgn0011836	CG6711	Taf2	-1.4598210518679495	1
FBgn0286898	CG11098	Tango1	-1.4486356392981758	1
FBgn0288470	CG3689	Cpsf5	-1.4442843976875726	2
FBgn0002431	CG9484	hyd	-1.442962638355628	1
FBgn0039204	CG6607	CG6607	-1.434841162213582	1
FBgn0034939	CG2980	thoc5	-1.4341315580334817	1
FBgn0041150	CG12787	hoe1	-1.432667653171064	1
FBgn0038923	CG13410	mRpL35	-1.4315286761471029	2
FBgn0038473	CG3983	Ns1	-1.4311572729758526	1
FBgn0030121	CG17446	Cfp1	-1.4242055899335238	1
FBgn0028690	CG1100	Rpn5	-1.4238706870895834	1
FBgn0037686	CG9354	RpL34b	-1.4202221167409077	2
FBgn0002044	CG10084	swm	-1.4194876265503031	1
FBgn0027079	CG4062	ValRS	-1.4180149449167854	1
FBgn0031266	CG2807	Sf3b1	-1.4174011279807093	1
FBgn0010497	CG5304	dmGlut	-1.4140510249384082	2
FBgn0028577	CG12085	hfp	-1.4115653098018135	1
FBgn0284245	CG8280	eEF1alpha1	-1.4088203192984234	1
FBgn0040512	CG3948	zetaCOP	-1.4040613165393083	1
FBgn0034282	CG5784	Mapmodulin	-1.402319434432114	1
FBgn0261396	CG42641	Rpn3	-1.3948588688829777	1
FBgn0003261	CG10279	Rm62	-1.390197137315771	1
FBgn0024191	CG7238	sip1	-1.3879359537431957	1
FBgn0021761	CG4579	Nup154	-1.3867760060716474	1
FBgn0026380	CG11981	Prosbeta3	-1.3754297145245933	1
FBgn0039886	CG2003	CG2003	-1.3680993023658696	1
FBgn0023175	CG1519	Prosalpha7	-1.3659859602290911	1
FBgn0027619	CG12131	eIF3j	-1.3638576955400146	1
FBgn0025582	CG9677	eIF3e	-1.3598499005126496	1
FBgn0013343	CG31136	Syx1A	-1.3581594418919491	1
FBgn0038550	CG17801	CG17801	-1.355202565980689	1
FBgn0003023	CG12743	otu	-1.348367857725471	2
FBgn0010113	CG15532	hdc	-1.3377542666033393	1
FBgn0015949	CG9854	hrg	-1.3375393756574085	1
FBgn0032720	CG10603	mRpL13	-1.3242364001927767	1
FBgn0039175	CG5706	beta-PheRS	-1.322201742808159	1
FBgn0032512	CG9305	Bdp1	-1.3179997616809132	1
FBgn0003997	CG5123	hid	-1.3162908054698077	1
FBgn0023522	CG11596	CG11596	-1.3078161404057904	1
FBgn0051522	CG31522	CG31522	-1.3018103402580805	1
FBgn0261612	CG42701	CngA	-1.3013668947175485	1
FBgn0039488	CG6066	CG6066	-1.294199658941543	1
FBgn0038578	CG7957	MED17	-1.2845664638470553	1
FBgn0026713	CG32604	Prp16	-1.2844623607859587	1
FBgn0039159	CG13608	mRpS24	-1.2833621657962475	1
FBgn0005660	CG2914	Ets21C	-1.28245977521197	1
FBgn0033661	CG13185	CG13185	-1.2803025677309288	1
FBgn0023096	CG15148	btv	-1.2741314117951115	1
FBgn0035025	CG11416	uri	-1.261389834491124	1
n.d.	CG14306	n.d.	-1.2599160549822315	1
FBgn0038043	CG17202	CG17202	-1.2547033757525141	1
FBgn0028530	CG18124	mTTF	-1.2511566716305929	1
FBgn0022288	CG12792	l(2)09851	-1.2429858153602407	1
FBgn0036686	CG7728	CG7728	-1.2427887003314788	1
FBgn0263979	CG4236	Caf1-55	-1.2423486164043147	1
FBgn0032346	CG6249	Csl4	-1.2361264471410718	1
FBgn0033210	CG1406	U2A	-1.2293366532346597	1
FBgn0260990	CG1973	yata	-1.2245353762164422	1
FBgn0003744	CG8637	trc	-1.2193289287370832	1
FBgn0052708	CG32708	CG32708	-1.2078736156172605	1
FBgn0261617	CG15319	nej	-1.207486514968277	2
FBgn0002638	CG10480	Rcc1	-1.2033262472635717	1
FBgn0028473	CG8801	Non1	-1.2017388975975614	1
FBgn0266284	CG14788	Ns3	-1.196920736116061	1
FBgn0026737	CG6171	CG6171	-1.1966785017819104	1
FBgn0035397	CG11486	PAN3	-1.1966496223594196	1
FBgn0035162	CG13900	Sf3b3	-1.1961251236615777	1
FBgn0032899	CG9338	CG9338	-1.1951238632058034	1
FBgn0020261	CG3291	pcm	-1.1940681289138846	1
FBgn0022213	CG13281	Cse1	-1.191937935515252	2
FBgn0030366	CG1490	Usp7	-1.1901674287693857	2
FBgn0031538	CG3246	CG3246	-1.1896881618760755	1
FBgn0031298	CG4428	Atg4a	-1.1815383723372306	1
FBgn0029999	CG1575	CG1575	-1.179359868664649	1
FBgn0039271	CG11839	CG11839	-1.1788468158306098	1
FBgn0286784	CG2331	TER94	-1.1755463686112653	1
FBgn0034243	CG6501	Ns2	-1.1705065573147642	1
FBgn0015925	CG3730	csul	-1.1684246240612617	1
FBgn0038746	CG4510	Surf6	-1.1673306959596526	2
FBgn0027084	CG12141	LysRS	-1.1578071304319026	2
FBgn0035110	CG17143	thoc7	-1.1546225217638666	1
FBgn0016794	CG1044	dos	-1.1539497937242986	1
FBgn0036812	CG4076	Nufip	-1.1525164320327237	1
FBgn0027868	CG6743	Nup107	-1.1316115729642304	1
FBgn0032956	CG1512	Cul2	-1.1281885294722576	1
FBgn0003041	CG8114	pbl	-1.1249193391815362	1
FBgn0036815	CG6874	HipHop	-1.1105337935715651	1
FBgn0037078	CG12971	CG12971	-1.0968577515386848	1
FBgn0031145	CG1740	Ntf-2	-1.086478964532009	1
FBgn0036612	CG4998	CG4998	-1.0831589538196287	1
FBgn0050076	CG30076	CG30076	-1.0785281498314903	1
FBgn0284442	CG4206	Mcm3	-1.0778232008837718	1
FBgn0250755	CG42233	CG42233	-1.0765885003247397	1
FBgn0028490	CG31705	CG31705	-1.0563421798040538	1
FBgn0000139	CG6677	ash2	-1.0527080816067182	2
FBgn0026418	CG6603	Hsc70Cb	-1.048395751326172	1
FBgn0051957	CG31957	CG31957	-1.04045952936166	1
FBgn0283681	CG4933	Tcs3	-1.0395960530794328	1
FBgn0050476	CG30476	ave	-1.0356092212166619	1
FBgn0002962	CG5637	nos	-1.0354835947452345	2
FBgn0261609	CG9946	eIF2alpha	-1.0351246190527967	1
FBgn0259150	CG42265	OtopLc	-1.0344155526630303	2
FBgn0000575	CG1007	emc	-1.0314076945143271	1
FBgn0037121	CG11246	Polr2H	-1.0306531834720358	1
FBgn0051852	CG31852	Tap42	-1.0297631876000954	2
FBgn0005411	CG9998	U2af50	-1.029667396265184	1
FBgn0025637	CG16983	SkpA	-1.029218176782223	1
FBgn0027567	CG8108	Ciz1	-1.0275904980375703	1
FBgn0000629	CG6502	E(z)	-1.018084636561814	1
FBgn0003941	CG2960	RpL40	-1.0151784898075489	1
FBgn0288834	CG9273	RPA2	-1.0144980715456022	1
n.d.	CG32132	n.d.	-1.013678417022402	1
FBgn0264495	CG42803	gpp	-0.9862186694624648	1
FBgn0031455	CG9958	Snapin	-0.9819787413725188	2
FBgn0024921	CG7398	Tnpo	-0.9716754620580511	2
FBgn0004855	CG3284	Polr2I	-0.9654225128568129	1
FBgn0037249	CG9805	eIF3a	-0.9591855397694475	1
FBgn0035099	CG6845	CG6845	-0.9432704581099133	1
FBgn0046687	CG3171	Tre1	-0.9414017816338255	1
FBgn0002787	CG3416	Rpn8	-0.9378153315082259	1
FBgn0086451	CG10805	l(2)k09022	-0.9280626849072408	1
FBgn0262473	CG5490	Tl	-0.920714844509897	1
FBgn0014366	CG2925	noi	-0.9064794983944913	1
FBgn0037892	CG5242	mRpL40	-0.8967709504490672	1
FBgn0051992	CG31992	gw	-0.8939391192298902	1
FBgn0031668	CG31917	CG31917	-0.8935333482423555	1
FBgn0050156	CG30156	CG30156	-0.8888677085772582	1
FBgn0032691	CG10414	Atac2	-0.8794068036064293	1
FBgn0003141	CG16784	pr	-0.8693079480903755	1
FBgn0052152	CG32152	CG32152	-0.8642552701850552	1
FBgn0036184	CG7351	PCID2	-0.8560203669356005	1
FBgn0030500	CG9938	Ndc80	-0.8543371448415613	1
FBgn0034225	CG4827	veil	-0.8514669343552367	1
FBgn0037741	CG16908	Tti1	-0.8475807981662397	1
FBgn0036763	CG7441	TrpRS-m	-0.84633809766227	1
FBgn0034217	CG18468	Lhr	-0.8375682249913705	1
FBgn0053169	CG33169	CG33169	-0.8272869024680494	1
FBgn0262734	CG4429	eIF4H1	-0.8205683800458243	2
FBgn0051855	CG31855	CG31855	-0.7918317686933145	1
FBgn0052554	CG32554	CG32554	-0.782236087788607	1
FBgn0031309	CG5041	Tfb4	-0.7821682858245003	1
FBgn0033264	CG2158	Nup50	-0.7804994916813432	1
FBgn0031048	CG12237	CG12237	-0.7717257104244657	1
FBgn0038834	CG15697	RpS30	-0.7506042976769155	1
FBgn0265523	CG4013	Smr	-0.712206580074695	1
FBgn0036258	CG5642	eIF3l	-0.7021622511901899	1
FBgn0287225	CG6815	bor	-0.693172214215243	1
FBgn0022709	CG17146	Ak1	-0.6912931666090665	1
FBgn0260794	CG42574	ctrip	-0.6902793281026028	1
FBgn0014931	CG2678	CG2678	-0.6763460340910727	1
FBgn0015778	CG9412	rin	-0.6743462395548595	1
FBgn0033842	CG5970	cbc	-0.633497488469583	1
FBgn0037755	CG12945	CG12945	-0.6209434904514965	1
FBgn0261573	CG42687	CoRest	-0.6145417506754804	1
FBgn0031116	CG1695	CG1695	-0.6097043634641732	1
FBgn0039743	CG7946	Jasper	-0.5836633234679737	1
FBgn0034654	CG10306	eIF3k	-0.5737573149656718	1
FBgn0264324	CG31048	spg	-0.5569343900659232	1
FBgn0003429	CG10693	slo	-0.5519570442478087	1
FBgn0034313	CG5726	CG5726	-0.5457540113346174	1
FBgn0030007	CG2263	alpha-PheRS	-0.511801034792413	1
FBgn0038842	CG5630	hdly	-0.49691803099452153	1
FBgn0034903	CG9850	sona	-0.4865825674765374	1
FBgn0000578	CG15112	ena	-0.47708036445825797	1
FBgn0265998	CG42320	Doa	-0.47531579979991	1
FBgn0259216	CG42316	RhoGAP102A	-0.43494495035985653	1
FBgn0261596	CG3751	RpS24	-0.422554563602102	1
FBgn0040339	CG3034	MED22	-0.4028465733382644	1
FBgn0031677	CG14036	CG14036	-0.38759625510464063	1
FBgn0040233	CG33694	cana	-0.3483167727567276	1
FBgn0034963	CG13567	Not11	-0.3225466500239713	1
FBgn0040575	CG15922	CG15922	-0.3188538730927614	1
FBgn0004227	CG4211	nonA	-0.3187309986861242	2
FBgn0015331	CG14637	abs	-0.2610000652256521	1
FBgn0010295	CG10788	ng3	-0.23203508755334473	1
FBgn0266465	CG5169	GckIII	-0.19732403873866217	1
FBgn0003978	CG10728	vls	-0.16708003472886673	1
FBgn0035337	CG15877	CG15877	-0.15497967377759048	1
FBgn0038890	CG7956	sp3	-0.1276169934908486	1
FBgn0032642	CG5110	Lamtor3	-0.08480872838134429	1
FBgn0034248	CG14483	CG14483	-0.016803066878368564	1
FBgn0051368	CG31368	CG31368	0.003858328918830825	1
FBgn0262656	CG10798	Myc	0.011137230071940757	1
